493    0.001528024673461914    0    0    b'Hello, world!'
494    0.0014808177947998047    0    0    b'Hello, world!'
495    0.0015320777893066406    0    0    b'Hello, world!'
496    0.0014851093292236328    0    0    b'Hello, world!'
497    0.0015330314636230469    0    0    b'Hello, world!'
498    0.0014948844909667969    0    0    b'Hello, world!'
499    0.0015399456024169922    0    0    b'Hello, world!'
500    0.0016140937805175781    0    0    b'Hello, world!'
501    0.0015168190002441406    0    0    b'Hello, world!'
502    0.0015540122985839844    0    0    b'Hello, world!'
503    0.0015158653259277344    0    0    b'Hello, world!'
504    0.0015559196472167969    0    0    b'Hello, world!'
505    0.0015339851379394531    0    0    b'Hello, world!'
506    0.00156402587890625    0    0    b'Hello, world!'
507    0.001573801040649414    0    0    b'Hello, world!'
508    0.0015652179718017578    0    0    b'Hello, world!'
509    0.0015711784362792969    0    0    b'Hello, world!'
510    0.001531839370727539    0    0    b'Hello, world!'
511    0.001573801040649414    0    0    b'Hello, world!'
512    0.0015408992767333984    0    0    b'Hello, world!'
513    0.0015778541564941406    0    0    b'Hello, world!'
514    0.0016050338745117188    0    0    b'Hello, world!'
515    0.0016148090362548828    0    0    b'Hello, world!'
516    0.0015878677368164062    0    0    b'Hello, world!'
517    0.001580953598022461    0    0    b'Hello, world!'
518    0.0015411376953125    0    0    b'Hello, world!'
519    0.0015888214111328125    0    0    b'Hello, world!'
520    0.001544952392578125    0    0    b'Hello, world!'
521    0.0015909671783447266    0    0    b'Hello, world!'
522    0.0017070770263671875    0    0    b'Hello, world!'
523    0.0016789436340332031    0    0    b'Hello, world!'
524    0.0015468597412109375    0    0    b'Hello, world!'
525    0.0016088485717773438    0    0    b'Hello, world!'
526    0.001580953598022461    0    0    b'Hello, world!'
527    0.001773834228515625    0    0    b'Hello, world!'
528    0.002418994903564453    0    0    b'Hello, world!'
529    0.002351045608520508    0    0    b'Hello, world!'
530    0.0020720958709716797    0    0    b'Hello, world!'
531    0.0017230510711669922    0    0    b'Hello, world!'
532    0.001699209213256836    0    0    b'Hello, world!'
533    0.0017418861389160156    0    0    b'Hello, world!'
534    0.001708984375    0    0    b'Hello, world!'
535    0.0017600059509277344    0    0    b'Hello, world!'
536    0.002389192581176758    0    0    b'Hello, world!'
537    0.002331972122192383    0    0    b'Hello, world!'
538    0.0022640228271484375    0    0    b'Hello, world!'
539    0.002474069595336914    0    0    b'Hello, world!'
540    0.0023870468139648438    0    0    b'Hello, world!'
541    0.0023200511932373047    0    0    b'Hello, world!'
